Currency,Daily Total Return,Price Close,TRBC Economic Sector Name,Volume
USD,-2.497918401,140.52,,400
USD,1.295681063,15.245,,195414
USD,-1.622544833,138.24,,405
USD,1.213512627,15.43,,184394
USD,3.298611111,142.8,,674
USD,-2.430330525,15.055,,141896
USD,-0.168067227,142.56,,176
USD,-0.797077383,14.935,,110830
USD,-0.084175084,142.44,,195
USD,-1.606963509,14.695,,115124
USD,-0.252737995,142.08,,1074
USD,-1.122830895,14.53,,165814
USD,0.253378378,142.44,,55
USD,3.647625602,15.06,,197378
USD,1.853411963,145.08,,385
USD,0.0,15.06,,89364
USD,-0.578990902,144.24,,232
USD,-0.033200531,15.055,,112986
USD,1.49750416,146.4,,119
USD,2.358020591,15.41,,76662
USD,-0.163934426,146.16,,73
USD,0.064892927,15.42,,123856
USD,-1.231527094,144.36,,622
USD,-0.84306096,15.29,,104572
USD,-0.332502078,143.88,,33
USD,0.588620013,15.355,,125610
USD,-0.333611343,143.4,,116
USD,1.85607294,15.64,,83202
USD,1.171548117,145.08,,168
USD,-0.543478261,15.555,,162676
USD,-0.41356493,144.48,,168
USD,0.321440051,15.605,,112120
USD,0.332225914,144.96,,227
USD,4.261454662,16.27,,141242
USD,-0.579470199,144.12,,16
USD,0.0,16.27,,208832
USD,0.49958368,144.24,,108
USD,0.522433927,16.355,,90612
USD,-0.332778702,143.76,,483
USD,-0.856007337,16.215,,105464
USD,0.667779633,144.72,,172
USD,1.880974406,16.52,,99038
USD,-1.575456053,142.44,,784
USD,4.025423729,17.185,,160286
USD,-0.168491997,142.2,,364
USD,-0.145475706,17.16,,83490
USD,-0.337552743,141.72,,580
USD,-3.03030303,16.64,,72176
USD,1.100762066,143.28,,679
USD,-1.081730769,16.46,,122044
USD,0.753768844,144.36,,267
USD,0.820170109,16.595,,109610
USD,2.660016625,148.2,,557
USD,2.470623682,17.005,,207622
USD,0.16194332,148.44,,175
USD,-0.117612467,16.985,,95158
USD,0.242522231,148.8,,83
USD,-0.677068001,16.87,,101884
USD,0.483870968,149.52,,362
USD,-1.807943094,16.565,,497158
USD,2.969502408,153.96,,4387
USD,0.211288862,16.6,,49102
USD,-0.623538581,153.0,,324
USD,0.0,16.6,,98884
USD,-0.62745098,152.04,,1412
USD,-0.180722892,16.57,,84500
USD,1.183898974,153.84,,507
USD,-0.694025347,16.455,,61302
USD,-0.31201248,153.36,,348
USD,2.127013066,16.805,,99544
USD,-2.190923318,150.0,,623
USD,4.700981851,17.595,,222738
USD,1.92,152.88,,525
USD,-0.539926115,17.5,,164552
USD,0.549450549,153.72,,520
USD,0.857142857,17.65,,107272
USD,1.170960187,155.52,,814
USD,-1.64305949,17.36,,62294
USD,3.935185185,161.64,,374
USD,-1.872119816,17.035,,74516
USD,4.380103935,168.72,,684
USD,2.054593484,17.385,,74660
USD,1.778093883,171.72,,404
USD,0.287604257,17.435,,71896
USD,-1.257861635,169.56,,234
USD,-0.630914826,17.325,,54798
USD,3.538570418,175.56,,254
USD,-0.461760462,17.245,,70896
USD,-0.3417635,174.96,,187
USD,0.173963468,17.275,,82134
USD,0.274348422,175.44,,225
USD,2.344428365,17.68,,107094
USD,-0.068399453,175.32,,335
USD,2.205882353,18.07,,77284
USD,4.24366872,182.76,,116
USD,-0.138350858,18.045,,100660
USD,2.560735391,187.44,,371
USD,1.468550845,18.31,,150470
USD,4.801536492,196.44,,562
USD,0.24576734,18.355,,113400
USD,-2.748930971,191.04,,350
USD,1.770634704,18.68,,182452
USD,-0.439698492,190.2,,183
USD,0.374732334,18.75,,63258
USD,-0.883280757,188.52,,83
USD,0.64,18.87,,89120
USD,2.164226607,192.6,,195
USD,-0.423953365,18.79,,100446
USD,0.436137072,193.44,,101
USD,-0.851516764,18.63,,78754
USD,-2.915632754,187.8,,238
USD,0.375738057,18.7,,113416
USD,0.383386581,188.52,,219
USD,1.79144385,19.035,,128732
USD,2.03691916,192.36,,269
USD,0.288941424,19.09,,195770
USD,-2.620087336,187.32,,166
USD,14.431639602,21.845,,904970
USD,2.242152466,191.52,,83
USD,2.197299153,22.325,,486354
USD,-0.939849624,189.72,,178
USD,-1.209406495,22.055,,272668
USD,0.063251107,189.84,,228
USD,0.36272954,22.135,,212644
USD,2.970922882,195.48,,312
USD,-2.462163994,21.59,,252492
USD,2.885205648,201.12,,449
USD,0.370541918,21.67,,143252
USD,0.656324582,202.44,,612
USD,1.476695893,21.99,,126762
USD,-0.533491405,201.36,,240
USD,-0.477489768,21.885,,100018
